reference_locus,gene,annotation
MIDG2331_RS09735,rpsH,30S ribosomal protein S8
MIDG2331_RS09740,rplF,50S ribosomal protein L6
MIDG2331_RS09745,rplR,50S ribosomal protein L18
MIDG2331_RS09750,rpsE,30S ribosomal protein S5
MIDG2331_RS09755,rpmD,50S ribosomal protein L30
MIDG2331_RS09760,rplO,50S ribosomal protein L15
MIDG2331_RS09765,secY,preprotein translocase subunit SecY
MIDG2331_RS09770,rpmJ,50S ribosomal protein L36
MIDG2331_RS09775,rpsM,30S ribosomal protein S13
MIDG2331_RS09780,rpsK,30S ribosomal protein S11
MIDG2331_RS09785,rpsD,30S ribosomal protein S4
MIDG2331_RS09790,,DNA-directed RNA polymerase subunit alpha
MIDG2331_RS09795,rplQ,50S ribosomal protein L17
MIDG2331_RS09800,rpsP,30S ribosomal protein S16
MIDG2331_RS09805,rimM,ribosome maturation factor RimM
MIDG2331_RS09810,trmD,tRNA (guanosine(37)-N1)-methyltransferase TrmD
MIDG2331_RS09815,rplS,50S ribosomal protein L19
MIDG2331_RS09820,,ribosomal protein uL16 3-hydroxylase
MIDG2331_RS09825,,ABC transporter substrate-binding protein
MIDG2331_RS09830,,FecCD family ABC transporter permease
MIDG2331_RS09835,,ABC transporter ATP-binding protein
MIDG2331_RS09840,,pseudoazurin
MIDG2331_RS09845,,ABC transporter substrate-binding protein
MIDG2331_RS09850,,ATP-grasp domain-containing protein
MIDG2331_RS09855,torD,molecular chaperone TorD
MIDG2331_RS09860,torA,trimethylamine-N-oxide reductase TorA
MIDG2331_RS09865,,hypothetical protein
MIDG2331_RS09870,glyQ,glycine--tRNA ligase subunit alpha
MIDG2331_RS09875,,endonuclease domain-containing protein
MIDG2331_RS09880,,hypothetical protein
MIDG2331_RS09885,glyS,glycine--tRNA ligase subunit beta
MIDG2331_RS09890,,methyltransferase domain-containing protein
MIDG2331_RS09895,,DUF5377 family protein
MIDG2331_RS09900,xerC,tyrosine recombinase XerC
MIDG2331_RS09905,,YbaN family protein
MIDG2331_RS09910,,glycosyltransferase family 2 protein
MIDG2331_RS09915,lpxH,"UDP-2,3-diacylglucosamine diphosphatase"
MIDG2331_RS09920,,DUF1523 family protein
MIDG2331_RS09925,,TatD family hydrolase
MIDG2331_RS09930,,"IS256 family transposase, variant Zn-binding type"
MIDG2331_RS09935,,MacB family efflux pump subunit
MIDG2331_RS09940,,efflux RND transporter periplasmic adaptor subunit
MIDG2331_RS09945,,MipA/OmpV family protein
MIDG2331_RS09950,,DNA polymerase III subunit delta'
MIDG2331_RS09955,tmk,dTMP kinase
MIDG2331_RS09960,mltG,endolytic transglycosylase MltG
MIDG2331_RS09980,acpP,acyl carrier protein
MIDG2331_RS09985,rpe,ribulose-phosphate 3-epimerase
MIDG2331_RS09990,,type B 50S ribosomal protein L31
MIDG2331_RS09995,ykgO,type B 50S ribosomal protein L36
MIDG2331_RS10000,mrcB,penicillin-binding protein 1B
MIDG2331_RS10005,menB,"1,4-dihydroxy-2-naphthoyl-CoA synthase"
MIDG2331_RS10010,,RelA/SpoT family protein
MIDG2331_RS10015,rpoZ,DNA-directed RNA polymerase subunit omega
MIDG2331_RS10020,recG,ATP-dependent DNA helicase RecG
MIDG2331_RS10025,,type II toxin-antitoxin system VapC family toxin
MIDG2331_RS10030,,type II toxin-antitoxin system Phd/YefM family antitoxin
MIDG2331_RS10035,proS,proline--tRNA ligase
MIDG2331_RS10040,,anti-sigma factor family protein
MIDG2331_RS10045,,sigma-70 family RNA polymerase sigma factor
MIDG2331_RS10050,msrP,protein-methionine-sulfoxide reductase catalytic subunit MsrP
MIDG2331_RS10055,,protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
MIDG2331_RS10060,rpoH,RNA polymerase sigma factor RpoH
MIDG2331_RS10065,,MFS transporter
MIDG2331_RS10070,,hypothetical protein
MIDG2331_RS10075,,type II toxin-antitoxin system YafO family toxin
MIDG2331_RS10080,asnA,aspartate--ammonia ligase
MIDG2331_RS10085,asnC,transcriptional regulator AsnC
MIDG2331_RS10090,udp,uridine phosphorylase
MIDG2331_RS10095,,chorismate--pyruvate lyase family protein
MIDG2331_RS10100,murI,glutamate racemase
MIDG2331_RS10130,cysI,assimilatory sulfite reductase (NADPH) hemoprotein subunit
MIDG2331_RS10135,,assimilatory sulfite reductase (NADPH) flavoprotein subunit
MIDG2331_RS10140,,sulfate adenylyltransferase subunit 1
MIDG2331_RS10145,cysD,sulfate adenylyltransferase subunit CysD
MIDG2331_RS10150,,phosphoadenylyl-sulfate reductase
MIDG2331_RS10155,cysG,siroheme synthase CysG
MIDG2331_RS10160,,sulfate ABC transporter substrate-binding protein
MIDG2331_RS10165,cysT,sulfate ABC transporter permease subunit CysT
MIDG2331_RS10170,cysW,sulfate ABC transporter permease subunit CysW
MIDG2331_RS10175,,sulfate/molybdate ABC transporter ATP-binding protein
MIDG2331_RS10180,lldD,FMN-dependent L-lactate dehydrogenase LldD
MIDG2331_RS10185,,biotin--[acetyl-CoA-carboxylase] ligase
MIDG2331_RS10190,murB,UDP-N-acetylmuramate dehydrogenase
MIDG2331_RS10195,ompA,porin OmpA
MIDG2331_RS10200,ilvC,ketol-acid reductoisomerase
MIDG2331_RS10205,,paraquat-inducible protein A
MIDG2331_RS10210,,transglutaminase-like domain-containing protein
MIDG2331_RS10215,,mercuric transporter MerT family protein
MIDG2331_RS10220,,heavy-metal-associated domain-containing protein
MIDG2331_RS10225,,iron-containing alcohol dehydrogenase
MIDG2331_RS10230,,LysR family transcriptional regulator
MIDG2331_RS10235,dapD,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
MIDG2331_RS10240,aroQ,type II 3-dehydroquinate dehydratase
MIDG2331_RS10245,,glycosyltransferase family 32 protein
MIDG2331_RS10250,accB,acetyl-CoA carboxylase biotin carboxyl carrier protein
MIDG2331_RS10255,accC,acetyl-CoA carboxylase biotin carboxylase subunit
MIDG2331_RS10260,mobA,molybdenum cofactor guanylyltransferase MobA
MIDG2331_RS10265,,YihD family protein
MIDG2331_RS10270,dsbA,thiol:disulfide interchange protein DsbA
MIDG2331_RS10280,ftsN,cell division protein FtsN
MIDG2331_RS10285,,class I SAM-dependent methyltransferase
MIDG2331_RS10290,,M15 family metallopeptidase
MIDG2331_RS10295,dapE,succinyl-diaminopimelate desuccinylase
MIDG2331_RS10300,,ArsC family reductase
MIDG2331_RS10305,,DUF5358 family protein
MIDG2331_RS10310,folP,dihydropteroate synthase
MIDG2331_RS10315,rluC,23S rRNA pseudouridine(955/2504/2580) synthase RluC
MIDG2331_RS10320,,TonB-dependent receptor plug domain-containing protein
MIDG2331_RS10325,,mechanosensitive ion channel family protein
MIDG2331_RS10330,,ATP-grasp domain-containing protein
MIDG2331_RS10335,,esterase family protein
MIDG2331_RS10340,ptrA,pitrilysin
MIDG2331_RS10345,recC,exodeoxyribonuclease V subunit gamma
MIDG2331_RS10350,,DUF5374 domain-containing protein
MIDG2331_RS10355,,DUF2572 family protein
MIDG2331_RS10360,,hypothetical protein
MIDG2331_RS10365,,pilus assembly FimT family protein
MIDG2331_RS10370,fabA,bifunctional 3-hydroxydecanoyl-ACP dehydratase/trans-2-decenoyl-ACP isomerase
MIDG2331_RS10375,,AAA family ATPase
MIDG2331_RS10380,matP,macrodomain Ter protein MatP
MIDG2331_RS10385,trpS,tryptophan--tRNA ligase
MIDG2331_RS10390,,phosphoglycolate phosphatase
MIDG2331_RS10400,lgt,prolipoprotein diacylglyceryl transferase
MIDG2331_RS10405,,sulfite exporter TauE/SafE family protein
MIDG2331_RS10410,rppH,RNA pyrophosphohydrolase
MIDG2331_RS10415,,M48 family metallopeptidase
MIDG2331_RS10420,ppa,inorganic diphosphatase
MIDG2331_RS10425,,tRNA1(Val) (adenine(37)-N6)-methyltransferase
MIDG2331_RS10430,rraA,ribonuclease E activity regulator RraA
MIDG2331_RS10435,,formate/nitrite transporter family protein
MIDG2331_RS10440,,alpha/beta hydrolase
MIDG2331_RS10455,,"IS256 family transposase, variant Zn-binding type"
MIDG2331_RS10460,dnaJ,molecular chaperone DnaJ
MIDG2331_RS10465,dnaK,molecular chaperone DnaK
MIDG2331_RS10470,xylB,xylulokinase
MIDG2331_RS10475,xylA,xylose isomerase
MIDG2331_RS10480,xylF,D-xylose ABC transporter substrate-binding protein
MIDG2331_RS10485,xylG,D-xylose ABC transporter ATP-binding protein
MIDG2331_RS10490,,sugar ABC transporter permease
MIDG2331_RS10495,,XylR family transcriptional regulator
MIDG2331_RS10500,,M13 family metallopeptidase
MIDG2331_RS10505,,zinc ribbon domain-containing protein
MIDG2331_RS10510,panF,sodium/pantothenate symporter
MIDG2331_RS10515,,YhdT family protein
MIDG2331_RS10520,metJ,met regulon transcriptional regulator MetJ
MIDG2331_RS10525,,MlaA family lipoprotein
MIDG2331_RS10530,,D-hexose-6-phosphate mutarotase
MIDG2331_RS10535,,site-specific recombinase
MIDG2331_RS10540,pgaA,"poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA"
MIDG2331_RS10545,pgaB,"poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB"
MIDG2331_RS10550,pgaC,"poly-beta-1,6-N-acetyl-D-glucosamine synthase"
MIDG2331_RS10555,,hypothetical protein
MIDG2331_RS10560,tpiA,triose-phosphate isomerase
MIDG2331_RS10565,truD,tRNA pseudouridine(13) synthase TruD
MIDG2331_RS10570,surE,5'/3'-nucleotidase SurE
MIDG2331_RS10575,,YqaA family protein
MIDG2331_RS10580,,LysM peptidoglycan-binding domain-containing protein
MIDG2331_RS10585,,hypothetical protein
MIDG2331_RS10590,,peptidoglycan DD-metalloendopeptidase family protein
MIDG2331_RS10595,,DNA-3-methyladenine glycosylase I
MIDG2331_RS10605,,YjiG family protein
MIDG2331_RS10610,,nucleoside recognition domain-containing protein
MIDG2331_RS10615,hemH,ferrochelatase
MIDG2331_RS10620,rpmH,50S ribosomal protein L34
MIDG2331_RS10625,rnpA,ribonuclease P protein component
MIDG2331_RS10630,yidD,membrane protein insertion efficiency factor YidD
MIDG2331_RS10635,glnA,type I glutamate--ammonia ligase
MIDG2331_RS10640,cpdA,"3',5'-cyclic-AMP phosphodiesterase"
MIDG2331_RS10645,nudF,ADP-ribose diphosphatase
MIDG2331_RS10650,psiE,phosphate-starvation-inducible protein PsiE
MIDG2331_RS10655,,4'-phosphopantetheinyl transferase family protein
MIDG2331_RS10660,,EamA family transporter
MIDG2331_RS10665,nhaA,Na+/H+ antiporter NhaA
MIDG2331_RS10675,dtd,D-aminoacyl-tRNA deacylase
MIDG2331_RS10680,,virulence factor BrkB family protein
MIDG2331_RS10685,proA,glutamate-5-semialdehyde dehydrogenase
MIDG2331_RS10700,,transferrin-binding protein-like solute binding protein
MIDG2331_RS10705,,transferrin-binding protein-like solute binding protein
MIDG2331_RS10710,mutL,DNA mismatch repair endonuclease MutL
MIDG2331_RS10715,adhP,alcohol dehydrogenase AdhP
MIDG2331_RS10720,miaA,tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA
MIDG2331_RS10725,hfq,RNA chaperone Hfq
MIDG2331_RS10730,hflX,ribosome rescue GTPase HflX
MIDG2331_RS10735,,LOG family protein
MIDG2331_RS10740,,MazG nucleotide pyrophosphohydrolase domain-containing protein
MIDG2331_RS10745,crp,cAMP-activated global transcriptional regulator CRP
MIDG2331_RS10750,,YheU family protein
MIDG2331_RS10755,slmA,nucleoid occlusion factor SlmA
MIDG2331_RS10760,dut,dUTP diphosphatase
MIDG2331_RS10765,coaBC,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC
MIDG2331_RS10770,radC,RadC family protein
MIDG2331_RS10775,rpmB,50S ribosomal protein L28
MIDG2331_RS10780,rpmG,50S ribosomal protein L33
MIDG2331_RS10790,,hypothetical protein
MIDG2331_RS10795,,diaminobutyrate--2-oxoglutarate transaminase
MIDG2331_RS10800,ddc,"L-2,4-diaminobutyrate decarboxylase"
MIDG2331_RS10805,yedF,sulfurtransferase-like selenium metabolism protein YedF
MIDG2331_RS10810,yedE,selenium metabolism membrane protein YedE/FdhT
MIDG2331_RS10815,,MaoP family protein
MIDG2331_RS10820,trmA,tRNA (uridine(54)-C5)-methyltransferase TrmA
MIDG2331_RS10835,corA,magnesium/cobalt transporter CorA
MIDG2331_RS10840,ubiE,"bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE"
MIDG2331_RS10845,,ubiquinone biosynthesis accessory factor UbiJ
MIDG2331_RS10850,ubiB,ubiquinone biosynthesis regulatory protein kinase UbiB
MIDG2331_RS10855,tatA,Sec-independent protein translocase subunit TatA
MIDG2331_RS10860,tatB,Sec-independent protein translocase protein TatB
MIDG2331_RS10865,tatC,twin-arginine translocase subunit TatC
MIDG2331_RS10870,hemB,porphobilinogen synthase
MIDG2331_RS10875,,DUF4870 family protein
MIDG2331_RS10880,mutM,bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase
MIDG2331_RS10885,brnQ,branched-chain amino acid transport system II carrier protein
MIDG2331_RS10890,fabG,3-oxoacyl-ACP reductase FabG
MIDG2331_RS10895,fabD,ACP S-malonyltransferase
MIDG2331_RS10900,,epoxyqueuosine reductase QueH
MIDG2331_RS10905,ispB,octaprenyl diphosphate synthase
MIDG2331_RS10910,,patatin-like phospholipase family protein
MIDG2331_RS10915,,NADPH-dependent FMN reductase
MIDG2331_RS10920,,DoxX family protein
MIDG2331_RS10925,rplU,50S ribosomal protein L21
MIDG2331_RS10930,rpmA,50S ribosomal protein L27
MIDG2331_RS10935,,DMT family transporter
MIDG2331_RS10940,,surface lipoprotein assembly modifier
MIDG2331_RS10945,,Cof-type HAD-IIB family hydrolase
MIDG2331_RS10950,,DNA utilization protein GntX
MIDG2331_RS10955,rsmC,16S rRNA (guanine(1207)-N(2))-methyltransferase RsmC
MIDG2331_RS10960,,DNA polymerase III subunit psi
MIDG2331_RS10965,rimI,ribosomal protein S18-alanine N-acetyltransferase
MIDG2331_RS10970,srmB,ATP-dependent RNA helicase SrmB
MIDG2331_RS10975,pdxH,pyridoxamine 5'-phosphate oxidase
MIDG2331_RS10980,,ABC transporter substrate-binding protein
MIDG2331_RS10985,,aldehyde dehydrogenase family protein
MIDG2331_RS10990,,acetate uptake transporter
MIDG2331_RS10995,,ABC transporter ATP-binding protein
MIDG2331_RS11000,,iron-siderophore ABC transporter substrate-binding protein
MIDG2331_RS11005,fhuB,Fe(3+)-hydroxamate ABC transporter permease FhuB
MIDG2331_RS11010,,TonB-dependent siderophore receptor
MIDG2331_RS11015,,DUF2322 family protein
MIDG2331_RS11020,,phosphoribosylaminoimidazolesuccinocarboxamide synthase
MIDG2331_RS11025,hisG,ATP phosphoribosyltransferase
MIDG2331_RS11030,hisD,histidinol dehydrogenase
MIDG2331_RS11035,hisC,histidinol-phosphate transaminase
MIDG2331_RS11040,,IS200/IS605 family transposase
MIDG2331_RS11045,hisB,bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB
MIDG2331_RS11050,,phosphoglycerate mutase family protein
MIDG2331_RS11055,,PDDEXK nuclease domain-containing protein
MIDG2331_RS11060,hisH,imidazole glycerol phosphate synthase subunit HisH
MIDG2331_RS11065,hisA,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase
MIDG2331_RS11070,hisF,imidazole glycerol phosphate synthase subunit HisF
MIDG2331_RS11075,,hypothetical protein
MIDG2331_RS11080,hisIE,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE
MIDG2331_RS11085,,7-cyano-7-deazaguanine/7-aminomethyl-7- deazaguanine transporter
MIDG2331_RS11090,map,type I methionyl aminopeptidase
MIDG2331_RS11095,,thioredoxin family protein
MIDG2331_RS11100,,LacI family DNA-binding transcriptional regulator
MIDG2331_RS11105,,glycoside hydrolase family 32 protein
MIDG2331_RS11110,,aminoimidazole riboside kinase
MIDG2331_RS11115,nirK,copper-containing nitrite reductase
MIDG2331_RS11120,lolE,lipoprotein-releasing ABC transporter permease subunit LolE
MIDG2331_RS11125,lolD,lipoprotein-releasing ABC transporter ATP-binding protein LolD
MIDG2331_RS11130,,lipoprotein-releasing ABC transporter permease subunit
MIDG2331_RS11135,,2-hydroxyacid dehydrogenase
MIDG2331_RS11140,kdsA,3-deoxy-8-phosphooctulonate synthase
MIDG2331_RS11145,,SirB1 family protein
MIDG2331_RS11150,prmC,peptide chain release factor N(5)-glutamine methyltransferase
MIDG2331_RS11155,,hypothetical protein
MIDG2331_RS11160,prfA,peptide chain release factor 1
MIDG2331_RS11165,,rhodanese-like domain-containing protein
MIDG2331_RS11170,,YeeE/YedE family protein
MIDG2331_RS11185,,IS3-like element ISApl3 family transposase
MIDG2331_RS11200,,CydX/CbdX family cytochrome bd oxidase small subunit
MIDG2331_RS11205,,DUF1232 domain-containing protein
MIDG2331_RS11235,,IS3-like element ISApl3 family transposase
MIDG2331_RS11240,,nicotinate phosphoribosyltransferase
MIDG2331_RS11250,,YoaH family protein
MIDG2331_RS11260,,IS3 family transposase
MIDG2331_RS11275,,GNAT family N-acetyltransferase
MIDG2331_RS11295,,IS3 family transposase
MIDG2331_RS11300,,cupin domain-containing protein
MIDG2331_RS11330,,methionine/alanine import family NSS transporter small subunit
MIDG2331_RS11335,,IS3-like element ISApl3 family transposase
MIDG2331_RS11340,,IS3 family transposase
MIDG2331_RS11345,lptM,LPS translocon maturation chaperone LptM
MIDG2331_RS11355,,NAD(P)H-binding protein
MIDG2331_RS11360,lptM,LPS translocon maturation chaperone LptM
MIDG2331_RS11370,,ParA family protein
MIDG2331_RS11400,,IS3-like element ISApl3 family transposase
MIDG2331_RS11405,,ricin-type beta-trefoil lectin domain protein
MIDG2331_RS11495,,hypothetical protein
MIDG2331_RS11505,,hypothetical protein
MIDG2331_RS11510,,hypothetical protein
MIDG2331_RS11515,,hypothetical protein
MIDG2331_RS11525,,amino acid ABC transporter ATP-binding protein
MIDG2331_RS11530,,cysteine ABC transporter substrate-binding protein
MIDG2331_RS11535,,hypothetical protein
MIDG2331_RS11540,,helix-turn-helix domain-containing protein
MIDG2331_RS11545,,hypothetical protein
MIDG2331_RS11550,,hypothetical protein
MIDG2331_RS11555,,hypothetical protein
MIDG2331_RS11560,,hypothetical protein
MIDG2331_RS11570,,porin family protein
MIDG2331_RS11580,,TonB-dependent receptor domain-containing protein
MIDG2331_RS11595,,TonB-dependent receptor plug domain-containing protein
MIDG2331_RS11600,,hypothetical protein
MIDG2331_RS11605,,TonB-dependent receptor domain-containing protein
MIDG2331_RS11610,,thiazole synthase
MIDG2331_RS11615,,two-partner secretion domain-containing protein
MIDG2331_RS11620,,helix-turn-helix domain-containing protein
MIDG2331_RS11635,,hypothetical protein
MIDG2331_RS11640,,glycosyltransferase family 25 protein
MIDG2331_RS11650,,Fic family protein
MIDG2331_RS11655,,Fic family protein
MIDG2331_RS11665,,cupin domain-containing protein
MIDG2331_RS11670,,hypothetical protein
MIDG2331_RS11675,,TonB-dependent receptor plug domain-containing protein
MIDG2331_RS11680,,hypothetical protein
MIDG2331_RS11685,,DUF5368 family protein
MIDG2331_RS11695,,hypothetical protein
MIDG2331_RS11700,,calcium-binding protein
MIDG2331_RS11705,,hypothetical protein
MIDG2331_RS11710,,Abi family protein
MIDG2331_RS11715,,Abi family protein
MIDG2331_RS11730,,TonB-dependent receptor domain-containing protein
MIDG2331_RS11735,,ABC transporter ATP-binding protein
MIDG2331_RS11745,,M20/M25/M40 family metallo-hydrolase
MIDG2331_RS11750,,hypothetical protein
MIDG2331_RS11755,,IS3 family transposase
MIDG2331_RS11760,,Slam-dependent surface lipoprotein
MIDG2331_RS11765,,pentapeptide repeat-containing protein
MIDG2331_RS11770,,SEC-C metal-binding domain-containing protein
MIDG2331_RS11775,,LysR family transcriptional regulator
MIDG2331_RS11780,,hypothetical protein
MIDG2331_RS11785,,hypothetical protein
MIDG2331_RS11790,,hypothetical protein
MIDG2331_RS11795,,hypothetical protein
MIDG2331_RS11800,,hypothetical protein
MIDG2331_RS11805,,hypothetical protein
MIDG2331_RS11810,,hypothetical protein
MIDG2331_RS11815,,hypothetical protein
MIDG2331_RS11820,,hypothetical protein
MIDG2331_RS11825,,hypothetical protein
MIDG2331_RS11830,,hypothetical protein
