reference_locus,old_locus_tag,gene,annotation,strand,gene_start,gene_end
MIDG2331_RS01490,MIDG2331_00300,,virulence RhuM family protein,+,322541,323542
MIDG2331_RS01495,MIDG2331_00301,,Abi family protein,+,323884,324795
MIDG2331_RS01500,MIDG2331_00302,,restriction endonuclease subunit S,+,324963,326177
MIDG2331_RS01505,MIDG2331_00303,,AAA family ATPase,+,326187,327503
MIDG2331_RS01510,MIDG2331_00304,,type I restriction endonuclease subunit R,+,327676,330804
MIDG2331_RS01515,MIDG2331_00305,,ABC transporter ATP-binding protein,+,330823,332766
MIDG2331_RS01520,MIDG2331_00306,tcdA,tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA,+,332766,333530
MIDG2331_RS01525,MIDG2331_00307,,DUF5339 domain-containing protein,-,333609,333941
MIDG2331_RS01530,MIDG2331_00308,,cytochrome ubiquinol oxidase subunit I,+,334398,335948
MIDG2331_RS01535,MIDG2331_00309,cydB,cytochrome d ubiquinol oxidase subunit II,+,335962,337098
MIDG2331_RS01540,MIDG2331_00311,ybgE,cyd operon protein YbgE,+,337221,337523
MIDG2331_RS01545,MIDG2331_00312,ybgC,tol-pal system-associated acyl-CoA thioesterase,+,337666,338055
MIDG2331_RS01550,MIDG2331_00313,tolQ,protein TolQ,+,338090,338770
MIDG2331_RS01555,MIDG2331_00314,tolR,colicin uptake protein TolR,+,338849,339289
MIDG2331_RS01560,MIDG2331_00315,tolA,cell envelope integrity protein TolA,+,339305,340696
MIDG2331_RS01565,MIDG2331_00316,tolB,Tol-Pal system beta propeller repeat protein TolB,+,340714,341994
MIDG2331_RS01570,MIDG2331_00317,pal,peptidoglycan-associated lipoprotein Pal,+,342021,342479
MIDG2331_RS01575,MIDG2331_00318,,DMT family transporter,+,342575,343462
MIDG2331_RS01580,MIDG2331_00319,djlA,co-chaperone DjlA,+,343542,344402
MIDG2331_RS01585,MIDG2331_00320,dusC,tRNA dihydrouridine(16) synthase DusC,+,344487,345449
MIDG2331_RS01590,MIDG2331_00321,,YcjF family protein,+,345501,346547
MIDG2331_RS01595,MIDG2331_00322,,ABC transporter ATP-binding protein,-,346735,348651
MIDG2331_RS01600,MIDG2331_00323,,hypothetical protein,+,348812,349054
MIDG2331_RS01605,MIDG2331_00325,moeA,molybdopterin molybdotransferase MoeA,+,349242,350483
MIDG2331_RS01610,MIDG2331_00326,moeB,molybdopterin-synthase adenylyltransferase MoeB,+,350493,351239
MIDG2331_RS01620,MIDG2331_00328,rlmD,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,-,351636,352964
MIDG2331_RS01625,MIDG2331_00329,,anti-phage deoxyguanosine triphosphatase,+,353022,354347
MIDG2331_RS01630,MIDG2331_00330,rapA,RNA polymerase-associated protein RapA,+,354519,357428
MIDG2331_RS01635,MIDG2331_00331,rluA,bifunctional tRNA pseudouridine(32) synthase/23S rRNA pseudouridine(746) synthase RluA,+,357544,358212
MIDG2331_RS01640,MIDG2331_00332,ampD,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD",-,358408,358956
MIDG2331_RS01645,MIDG2331_00333,,23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ,+,359077,359919
MIDG2331_RS01650,MIDG2331_00334,pyrE,orotate phosphoribosyltransferase,+,360005,360646
MIDG2331_RS01655,MIDG2331_00335,,5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase,+,360785,361873
MIDG2331_RS01660,MIDG2331_00336,metC,cystathionine beta-lyase,-,361950,363140
MIDG2331_RS01665,MIDG2331_00337,dsbB,disulfide bond formation protein DsbB,-,363217,363756
MIDG2331_RS01670,MIDG2331_00338,nhaB,sodium/proton antiporter NhaB,-,363852,365393
MIDG2331_RS01675,MIDG2331_00339,fadR,fatty acid metabolism transcriptional regulator FadR,+,365558,366286
MIDG2331_RS01680,MIDG2331_00340,,PhoH family protein,+,366295,367365
MIDG2331_RS01685,MIDG2331_00341,,AEC family transporter,-,367404,368450
MIDG2331_RS01690,MIDG2331_00342,prfB,peptide chain release factor 2,-,368451,369549
MIDG2331_RS01695,MIDG2331_00343,selD,"selenide, water dikinase SelD",+,369690,370733
MIDG2331_RS01700,MIDG2331_00344,,NUDIX hydrolase,+,370738,371193
MIDG2331_RS01705,MIDG2331_00345,ubiH,2-octaprenyl-6-methoxyphenyl hydroxylase,+,371203,372402
MIDG2331_RS01710,MIDG2331_00346,,hypothetical protein,-,372432,372908
MIDG2331_RS01715,MIDG2331_00347,,hypothetical protein,-,372965,373582
MIDG2331_RS01720,MIDG2331_00348,,hypothetical protein,-,373663,374142
MIDG2331_RS01725,MIDG2331_00349,,FAD-dependent monooxygenase,-,374283,375464
MIDG2331_RS01730,MIDG2331_00350,rapZ,RNase adapter RapZ,-,375552,376412
MIDG2331_RS01735,MIDG2331_00351,,PTS sugar transporter subunit IIA,-,376431,376943
MIDG2331_RS01740,MIDG2331_00352,lptB,LPS export ABC transporter ATP-binding protein,-,376993,377718
MIDG2331_RS01745,MIDG2331_00353,lptA,lipopolysaccharide transport periplasmic protein LptA,-,377728,378231
MIDG2331_RS01750,MIDG2331_00354,lptC,LPS export ABC transporter periplasmic protein LptC,-,378256,378852
MIDG2331_RS01755,MIDG2331_00355,ppc,phosphoenolpyruvate carboxylase,-,379012,381651
MIDG2331_RS01760,MIDG2331_00356,,TPM domain-containing protein,-,381867,382694
MIDG2331_RS01765,MIDG2331_00357,,TPM domain-containing protein,-,382691,383140
MIDG2331_RS01770,MIDG2331_00358,,LemA family protein,-,383207,383791
MIDG2331_RS01775,MIDG2331_00359,,fructose-specific PTS transporter subunit EIIC,-,383944,385605
MIDG2331_RS01780,MIDG2331_00360,fruK,1-phosphofructokinase,-,385687,386634
MIDG2331_RS01785,MIDG2331_00361,fruB,fused PTS fructose transporter subunit IIA/HPr protein,-,386649,388157
MIDG2331_RS01790,MIDG2331_00362,glgB,"1,4-alpha-glucan branching protein GlgB",+,388418,390739
MIDG2331_RS01795,MIDG2331_00363,glgX,glycogen debranching protein GlgX,+,390759,392744
MIDG2331_RS01800,MIDG2331_00364,glgC,glucose-1-phosphate adenylyltransferase,+,392760,394076
MIDG2331_RS01805,MIDG2331_00365,glgA,glycogen synthase GlgA,+,394179,395615
MIDG2331_RS01810,MIDG2331_00366,,glycogen/starch/alpha-glucan phosphorylase,+,395645,398149
MIDG2331_RS01815,MIDG2331_00367,ndk,nucleoside-diphosphate kinase,-,398261,398677
MIDG2331_RS01820,MIDG2331_00368,metG,methionine--tRNA ligase,-,398736,400784
MIDG2331_RS01825,MIDG2331_00369,menC,o-succinylbenzoate synthase,+,400903,401913
MIDG2331_RS01830,MIDG2331_00371,rsuA,16S rRNA pseudouridine(516) synthase RsuA,+,402227,402919
MIDG2331_RS01835,MIDG2331_00372,,Bcr/CflA family multidrug efflux MFS transporter,+,402919,404115
MIDG2331_RS01840,MIDG2331_00373,,hypothetical protein,-,404161,404547
MIDG2331_RS01845,MIDG2331_00374,,TorD/DmsD family molecular chaperone,-,404618,405187
MIDG2331_RS01850,MIDG2331_00375,nfo,deoxyribonuclease IV,+,405245,406087
MIDG2331_RS01855,MIDG2331_00376,,NlpC/P60 family protein,+,406208,406804
MIDG2331_RS01860,MIDG2331_00377,,LexA family protein,-,406853,407308
MIDG2331_RS01865,MIDG2331_00378,grcA,autonomous glycyl radical cofactor GrcA,-,407534,407920
MIDG2331_RS01870,MIDG2331_00379,ung,uracil-DNA glycosylase,+,408117,408803
MIDG2331_RS01875,MIDG2331_00380,,VirK/YbjX family protein,-,408901,409773
MIDG2331_RS01880,MIDG2331_00381,,S8 family serine peptidase,-,409868,412666
MIDG2331_RS01885,MIDG2331_00382,hrpA,ATP-dependent RNA helicase HrpA,-,412891,416790
MIDG2331_RS01890,MIDG2331_00383,,DUF441 domain-containing protein,-,416926,417378
MIDG2331_RS01895,MIDG2331_00384,grpE,nucleotide exchange factor GrpE,-,417575,418171
MIDG2331_RS01900,MIDG2331_00385,,extracellular solute-binding protein,+,418416,419498
MIDG2331_RS01905,MIDG2331_00386,,MATE family efflux transporter,+,419642,421033
MIDG2331_RS01910,MIDG2331_00387,recB,exodeoxyribonuclease V subunit beta,+,421049,424657
MIDG2331_RS01915,MIDG2331_00388,lnt,apolipoprotein N-acyltransferase,-,424735,426246
MIDG2331_RS01920,MIDG2331_00389,corC,CNNM family magnesium/cobalt transport protein CorC,-,426328,427221
MIDG2331_RS01925,MIDG2331_00390,,curli polymerization inhibitor CsgI-related protein,+,427391,427993
MIDG2331_RS01930,MIDG2331_00391,,MIP/aquaporin family protein,+,428229,429011
MIDG2331_RS01935,MIDG2331_00392,glpK,glycerol kinase GlpK,+,429046,430557
MIDG2331_RS01940,MIDG2331_00393,lon,endopeptidase La,-,430678,433086
MIDG2331_RS01945,MIDG2331_00394,glpT,glycerol-3-phosphate transporter,-,433232,434677
MIDG2331_RS01950,MIDG2331_00395,glpQ,glycerophosphodiester phosphodiesterase,-,434880,435968
MIDG2331_RS01955,MIDG2331_00396,glpA,anaerobic glycerol-3-phosphate dehydrogenase subunit A,+,436220,437905
MIDG2331_RS01960,MIDG2331_00397,glpB,glycerol-3-phosphate dehydrogenase subunit GlpB,+,437895,439181
MIDG2331_RS01965,MIDG2331_00398,glpC,anaerobic glycerol-3-phosphate dehydrogenase subunit GlpC,+,439178,440452
MIDG2331_RS01970,MIDG2331_00400,ribD,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD,+,440762,441856
MIDG2331_RS01975,MIDG2331_00401,ribE,riboflavin synthase,+,441979,442626
MIDG2331_RS01980,MIDG2331_00402,,"bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II",+,442687,443892
MIDG2331_RS01985,MIDG2331_00403,ribH,"6,7-dimethyl-8-ribityllumazine synthase",+,444003,444464
MIDG2331_RS01990,MIDG2331_00404,greB,transcription elongation factor GreB,-,444555,445043
MIDG2331_RS01995,MIDG2331_00405,,KpsF/GutQ family sugar-phosphate isomerase,-,445053,445988
MIDG2331_RS02000,MIDG2331_00406,pepB,aminopeptidase PepB,-,446116,447399
MIDG2331_RS02005,MIDG2331_00407,,"5'-nucleotidase, lipoprotein e(P4) family",-,447523,448338
MIDG2331_RS02010,MIDG2331_00408,,bile acid:sodium symporter family protein,+,448511,449449
MIDG2331_RS02015,MIDG2331_00409,,efflux RND transporter periplasmic adaptor subunit,-,449529,450710
MIDG2331_RS02020,MIDG2331_00410,,Cof-type HAD-IIB family hydrolase,-,450807,451622
MIDG2331_RS02025,MIDG2331_00411,leuA,2-isopropylmalate synthase,+,452219,453760
MIDG2331_RS02030,MIDG2331_00412,rpoE,RNA polymerase sigma factor RpoE,+,454103,454681
MIDG2331_RS02035,MIDG2331_00413,,sigma-E factor negative regulatory protein,+,454701,455324
MIDG2331_RS02040,MIDG2331_00414,,SoxR reducing system RseC family protein,+,455549,455977
MIDG2331_RS02045,MIDG2331_00415,fadD,long-chain-fatty-acid--CoA ligase FadD,+,455989,457680
MIDG2331_RS02050,MIDG2331_00416,upp,uracil phosphoribosyltransferase,+,457747,458373
MIDG2331_RS02055,MIDG2331_00417,rsmA,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA,-,458480,459349
MIDG2331_RS02060,MIDG2331_00418,,peptidylprolyl isomerase,-,459415,460365
MIDG2331_RS02065,MIDG2331_00419,pyrR,bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR,-,460446,460985
MIDG2331_RS02070,MIDG2331_00420,hldE,bifunctional D-glycero-beta-D-manno-heptose-7-phosphate kinase/D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase HldE,-,461001,462431
MIDG2331_RS02075,MIDG2331_00421,der,ribosome biogenesis GTPase Der,-,462545,464065
MIDG2331_RS02080,MIDG2331_00422,hemA,glutamyl-tRNA reductase,-,464223,465533
MIDG2331_RS02085,MIDG2331_00423,relA,GTP diphosphokinase,+,465811,468018
MIDG2331_RS02090,MIDG2331_00424,ispC,1-deoxy-D-xylulose-5-phosphate reductoisomerase,+,468092,469282
MIDG2331_RS02095,MIDG2331_00425,,"IS256 family transposase, variant Zn-binding type",-,469367,470290
MIDG2331_RS02100,MIDG2331_00426,lpxA,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase,-,470440,471234
MIDG2331_RS02105,MIDG2331_00427,fabZ,3-hydroxyacyl-ACP dehydratase FabZ,-,471262,471726
MIDG2331_RS02110,MIDG2331_00428,lpxD,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,-,471795,472820
MIDG2331_RS02115,MIDG2331_00429,,OmpH/Skp family outer membrane protein,-,472820,473626
MIDG2331_RS02120,MIDG2331_00430,bamA,outer membrane protein assembly factor BamA,-,473742,476123
MIDG2331_RS02125,MIDG2331_00431,rseP,RIP metalloprotease RseP,-,476185,477498
MIDG2331_RS02130,MIDG2331_00432,,phosphatidate cytidylyltransferase,-,477505,478374
MIDG2331_RS02135,MIDG2331_00433,,isoprenyl transferase,-,478399,479112
MIDG2331_RS02140,MIDG2331_00434,gloB,hydroxyacylglutathione hydrolase,-,479285,479992
MIDG2331_RS02145,MIDG2331_00435,nagK,N-acetylglucosamine kinase,-,480051,480968
MIDG2331_RS02150,MIDG2331_00436,,phosphatase PAP2 family protein,-,480971,481675
MIDG2331_RS02155,MIDG2331_00437,yhbY,ribosome assembly RNA-binding protein YhbY,-,481767,482084
MIDG2331_RS02160,MIDG2331_00438,,glycosyltransferase family 2 protein,+,482206,482964
MIDG2331_RS02165,MIDG2331_00439,,D-alanyl-D-alanine carboxypeptidase family protein,-,483027,483848
MIDG2331_RS02170,MIDG2331_00440,,glycosyltransferase family 9 protein,-,483931,484968
MIDG2331_RS02175,MIDG2331_00441,argG,argininosuccinate synthase,+,485212,486543
MIDG2331_RS02180,MIDG2331_00442,rnhA,ribonuclease HI,+,486665,487126
MIDG2331_RS02185,MIDG2331_00443,,CvpA family protein,+,487283,487786
MIDG2331_RS02190,MIDG2331_00444,purF,amidophosphoribosyltransferase,+,487800,489317
MIDG2331_RS02195,MIDG2331_00445,,DUF5358 family protein,-,489386,489844
MIDG2331_RS02200,MIDG2331_00446,gdhA,NADP-specific glutamate dehydrogenase,-,489940,491280
MIDG2331_RS02205,MIDG2331_00447,bamE,outer membrane protein assembly factor BamE,-,491584,491928
MIDG2331_RS02210,MIDG2331_00448,yejK,nucleoid-associated protein YejK,-,491999,493000
MIDG2331_RS02215,MIDG2331_00449,,RidA family protein,+,493093,493482
MIDG2331_RS02220,MIDG2331_00450,pgeF,peptidoglycan editing factor PgeF,+,493510,494247
MIDG2331_RS02230,MIDG2331_00452,,YceK/YidQ family lipoprotein,-,494467,494697
MIDG2331_RS02235,MIDG2331_00453,leuB,3-isopropylmalate dehydrogenase,+,494812,495894
MIDG2331_RS02240,MIDG2331_00454,msrB,peptide-methionine (R)-S-oxide reductase MsrB,-,496018,496413
MIDG2331_RS02245,MIDG2331_00455,gap,type I glyceraldehyde-3-phosphate dehydrogenase,+,496636,497640
MIDG2331_RS02250,MIDG2331_00457,,rod shape-determining protein,+,497836,498888
MIDG2331_RS02255,MIDG2331_00458,mreC,rod shape-determining protein MreC,+,499005,500054
MIDG2331_RS02260,MIDG2331_00459,mreD,rod shape-determining protein MreD,+,500054,500542
MIDG2331_RS02265,MIDG2331_00460,,replication-associated recombination protein A,+,500555,501895
MIDG2331_RS02270,MIDG2331_00461,znuB,zinc ABC transporter permease subunit ZnuB,+,501976,502761
MIDG2331_RS02275,MIDG2331_00462,,class II glutamine amidotransferase,+,502940,503737
MIDG2331_RS02280,MIDG2331_00463,metX,homoserine O-acetyltransferase MetX,-,503817,504893
MIDG2331_RS02285,MIDG2331_00464,,SanA/YdcF family protein,+,505185,505874
MIDG2331_RS02290,MIDG2331_00465,,YadA-like family protein,+,506121,516629
MIDG2331_RS02295,MIDG2331_00466,,LutC/YkgG family protein,-,516939,517637
MIDG2331_RS02300,MIDG2331_00467,,LutB/LldF family L-lactate oxidation iron-sulfur protein,-,517763,519172
MIDG2331_RS02305,MIDG2331_00468,,(Fe-S)-binding protein,-,519182,519907
MIDG2331_RS02310,MIDG2331_00469,,L-lactate permease,-,520077,521672
MIDG2331_RS02315,MIDG2331_00470,,H-NS family histone-like protein,-,522138,522545
MIDG2331_RS02320,MIDG2331_00472,,Na+/H+ antiporter NhaC family protein,+,523102,524619
MIDG2331_RS02325,MIDG2331_00473,,substrate-binding domain-containing protein,+,524825,525796
MIDG2331_RS02330,MIDG2331_00474,sucD,succinate--CoA ligase subunit alpha,-,525931,526803
MIDG2331_RS02335,MIDG2331_00475,sucC,ADP-forming succinate--CoA ligase subunit beta,-,526806,527972
MIDG2331_RS02340,MIDG2331_00476,,VirK/YbjX family protein,-,528116,528982
MIDG2331_RS02345,MIDG2331_00477,odhB,2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase,-,529125,530354
MIDG2331_RS02350,MIDG2331_00478,sucA,2-oxoglutarate dehydrogenase E1 component,-,530474,533284
MIDG2331_RS02355,MIDG2331_00479,znuC,zinc ABC transporter ATP-binding protein ZnuC,-,533527,534327
MIDG2331_RS02360,MIDG2331_00480,mepM,murein DD-endopeptidase MepM,+,534531,536021
MIDG2331_RS02365,MIDG2331_00481,dsbC,bifunctional protein-disulfide isomerase/oxidoreductase DsbC,+,536040,536735
MIDG2331_RS02370,MIDG2331_00482,recJ,single-stranded-DNA-specific exonuclease RecJ,+,536827,538542
MIDG2331_RS02375,MIDG2331_00483,,OmpA family protein,+,538676,539527
MIDG2331_RS02380,MIDG2331_00484,,pyridoxal phosphatase,+,539609,540427
MIDG2331_RS02385,MIDG2331_00485,narQ,nitrate/nitrite two-component system sensor histidine kinase NarQ,+,540427,542142
MIDG2331_RS02390,MIDG2331_00486,,GNAT family N-acetyltransferase,+,542165,542683
MIDG2331_RS02395,MIDG2331_00487,rdgB,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase,+,542724,543320
MIDG2331_RS02400,MIDG2331_00488,,YbjQ family protein,+,543348,543668
MIDG2331_RS02405,MIDG2331_00489,,formate--tetrahydrofolate ligase,-,543774,545444
MIDG2331_RS02410,MIDG2331_00490,,YcgN family cysteine cluster protein,+,545554,546000
MIDG2331_RS02415,MIDG2331_00491,,SDR family oxidoreductase,+,546090,546839
MIDG2331_RS02420,MIDG2331_00492,trpB,tryptophan synthase subunit beta,+,547025,548215
MIDG2331_RS02425,MIDG2331_00493,trpA,tryptophan synthase subunit alpha,+,548217,549026
MIDG2331_RS02430,MIDG2331_00494,,hypothetical protein,-,549103,549396
MIDG2331_RS02435,MIDG2331_00495,polA,DNA polymerase I,+,549870,552743
MIDG2331_RS02440,MIDG2331_00496,lolA,outer membrane lipoprotein periplasmic chaperone LolA,+,552901,553542
MIDG2331_RS02445,MIDG2331_00497,trpR,trp operon repressor,+,553617,553925
MIDG2331_RS02450,MIDG2331_00498,mtgA,monofunctional biosynthetic peptidoglycan transglycosylase,+,553954,554715
MIDG2331_RS02455,MIDG2331_00499,,carboxymuconolactone decarboxylase family protein,-,554785,555120
MIDG2331_RS02460,MIDG2331_00500,,SLAC1 anion channel family protein,-,555147,556151
MIDG2331_RS02465,MIDG2331_00501,,DUF5368 family protein,-,556263,556502
MIDG2331_RS02470,MIDG2331_00502,,NAD(P)/FAD-dependent oxidoreductase,-,556513,557856
MIDG2331_RS02475,MIDG2331_00503,,YgaP family membrane protein,-,557901,558113
MIDG2331_RS02480,MIDG2331_00504,,ArsR/SmtB family transcription factor,+,558268,558555
MIDG2331_RS02485,MIDG2331_00505,nfsA,oxygen-insensitive NADPH nitroreductase,+,558630,559349
MIDG2331_RS02490,MIDG2331_00506,,ATP-grasp domain-containing protein,+,559346,560260
MIDG2331_RS02495,MIDG2331_00507,,YdcF family protein,-,560295,561053
MIDG2331_RS02500,MIDG2331_00508,,malic enzyme-like NAD(P)-binding protein,+,561370,562638
MIDG2331_RS02505,MIDG2331_00509,rplY,50S ribosomal protein L25,+,562824,563111
MIDG2331_RS02510,MIDG2331_00511,,DUF1007 family protein,+,563690,564331
MIDG2331_RS02515,MIDG2331_00512,,nickel/cobalt transporter,+,564322,565317
MIDG2331_RS02520,MIDG2331_00513,,alanine/glycine:cation symporter family protein,+,565417,566865
MIDG2331_RS02535,MIDG2331_00517,,ABC transporter permease,+,567979,568728
MIDG2331_RS02540,MIDG2331_00518,,HesA/MoeB/ThiF family protein,+,568772,569473
MIDG2331_RS02550,MIDG2331_00522,thiH,2-iminoacetate synthase ThiH,+,570272,571417
MIDG2331_RS02555,MIDG2331_00523,tenA,thiaminase II,+,571423,572094
MIDG2331_RS02560,MIDG2331_00524,,ABC transporter substrate-binding protein,+,572114,573061
MIDG2331_RS02565,MIDG2331_00526,thiD,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,+,573086,573661
MIDG2331_RS02570,MIDG2331_00527,thiE,thiamine phosphate synthase,+,573672,574112
MIDG2331_RS02575,MIDG2331_00528,lepA,translation elongation factor 4,+,574290,576083
MIDG2331_RS02580,MIDG2331_00529,lepB,signal peptidase I,+,576188,577147
MIDG2331_RS02585,MIDG2331_00530,rnc,ribonuclease III,+,577244,577915
MIDG2331_RS02590,MIDG2331_00531,era,GTPase Era,+,577985,578899
MIDG2331_RS02595,MIDG2331_00532,recO,DNA repair protein RecO,+,578911,579633
MIDG2331_RS02600,MIDG2331_00533,,Flp pilus assembly protein,-,579727,581316
MIDG2331_RS02605,MIDG2331_00534,tadF,tight adherence pilus pseudopilin TadF,-,581340,581936
MIDG2331_RS02610,MIDG2331_00535,,TadE/TadG family type IV pilus assembly protein,-,581908,582393
MIDG2331_RS02615,MIDG2331_00536,,tetratricopeptide repeat protein,-,582396,583148
MIDG2331_RS02620,MIDG2331_00537,,type II secretion system F family protein,-,583138,583983
MIDG2331_RS02625,MIDG2331_00538,,type II secretion system F family protein,-,583983,584870
MIDG2331_RS02630,MIDG2331_00539,,CpaF family protein,-,584870,586147
MIDG2331_RS02635,MIDG2331_00540,,Flp operon protein D,-,586156,587283
MIDG2331_RS02640,MIDG2331_00541,,Rough colony protein B,-,587446,587949
MIDG2331_RS02645,MIDG2331_00542,,type II and III secretion system protein family protein,-,587946,589334
MIDG2331_RS02650,MIDG2331_00543,,SAF domain-containing protein,-,589324,590142
MIDG2331_RS02655,MIDG2331_00544,,A24 family peptidase,-,590169,590597
MIDG2331_RS02660,MIDG2331_00545,,Flp family type IVb pilin,-,590641,590838
MIDG2331_RS02665,MIDG2331_00546,,Flp family type IVb pilin,-,590885,591124
MIDG2331_RS02670,MIDG2331_00547,rhlB,ATP-dependent RNA helicase RhlB,+,591722,592942
MIDG2331_RS02675,MIDG2331_00548,,hypothetical protein,+,593060,593482
MIDG2331_RS02680,MIDG2331_00549,,helicase HerA-like C-terminal domain-containing protein,+,593533,595017
